model - 1577686734,1577686744.113,0.69,0.2091,0.73,0.1866
model - 1577686734,1577686744.137,0.68,0.2004,0.6,0.2262
model - 1577686734,1577686744.164,0.66,0.2203,0.73,0.1863
model - 1577686734,1577686744.189,0.64,0.2228,0.6,0.2267
model - 1577686734,1577686744.213,0.62,0.222,0.67,0.2119
model - 1577686734,1577686744.239,0.63,0.2225,0.63,0.2273
model - 1577686734,1577686744.266,0.7,0.2064,0.65,0.2094
model - 1577686734,1577686744.292,0.67,0.2098,0.63,0.1981
model - 1577686734,1577686744.318,0.66,0.2051,0.73,0.1818
model - 1577686734,1577686744.343,0.75,0.191,0.74,0.1752
model - 1577686734,1577686744.37,0.75,0.177,0.79,0.155
model - 1577686734,1577686744.396,0.75,0.1741,0.66,0.2189
model - 1577686734,1577686744.423,0.7,0.1879,0.7,0.1844
model - 1577686734,1577686744.447,0.7,0.199,0.77,0.1707
model - 1577686734,1577686744.474,0.65,0.2114,0.74,0.1816
model - 1577686734,1577686744.499,0.64,0.2023,0.71,0.1839
model - 1577686734,1577686744.525,0.69,0.1878,0.68,0.196
model - 1577686734,1577686744.55,0.65,0.2055,0.76,0.1633
model - 1577686734,1577686744.577,0.7,0.2117,0.79,0.1674
model - 1577686734,1577686744.601,0.7,0.193,0.7,0.1951
model - 1577686734,1577686744.626,0.76,0.1933,0.68,0.2002
model - 1577686734,1577686744.652,0.75,0.191,0.77,0.1566
model - 1577686734,1577686744.679,0.7,0.1806,0.78,0.154
model - 1577686734,1577686744.703,0.7,0.2123,0.69,0.1771
model - 1577686734,1577686744.729,0.79,0.1666,0.71,0.193
model - 1577686734,1577686744.754,0.78,0.1537,0.7,0.1705
model - 1577686734,1577686744.786,0.72,0.1844,0.67,0.1995
model - 1577686734,1577686744.812,0.64,0.1965,0.72,0.1948
model - 1577686734,1577686744.837,0.73,0.1657,0.69,0.1891
model - 1577686734,1577686744.87,0.81,0.1601,0.77,0.1636
model - 1577686734,1577686744.902,0.74,0.1726,0.83,0.1303
model - 1577686734,1577686744.927,0.73,0.1989,0.69,0.1899
model - 1577686734,1577686744.952,0.66,0.2189,0.72,0.1852
model - 1577686734,1577686744.977,0.78,0.1709,0.74,0.1815
model - 1577686734,1577686745.003,0.75,0.1707,0.7,0.1917
model - 1577686734,1577686745.03,0.76,0.1747,0.78,0.1522
model - 1577686734,1577686745.055,0.73,0.1934,0.76,0.1548
model - 1577686734,1577686745.081,0.65,0.1983,0.61,0.2251
model - 1577686734,1577686745.109,0.66,0.2269,0.8,0.1427
model - 1577686734,1577686745.134,0.74,0.191,0.63,0.2223
model - 1577686734,1577686745.159,0.73,0.1725,0.74,0.1746
model - 1577686734,1577686745.185,0.74,0.1811,0.75,0.163
model - 1577686734,1577686745.212,0.63,0.2109,0.71,0.2102
model - 1577686734,1577686745.236,0.67,0.2083,0.68,0.1919
model - 1577686734,1577686745.261,0.71,0.1812,0.74,0.1903
model - 1577686734,1577686745.286,0.8,0.1665,0.71,0.1851
model - 1577686734,1577686745.314,0.74,0.1772,0.72,0.2051
model - 1577686734,1577686745.339,0.68,0.2094,0.62,0.2535
model - 1577686734,1577686745.364,0.7,0.1889,0.77,0.1871
model - 1577686734,1577686745.388,0.67,0.2077,0.72,0.1765
model - 1577686734,1577686745.416,0.69,0.2029,0.69,0.1884
model - 1577686734,1577686745.441,0.58,0.2485,0.75,0.1696
model - 1577686734,1577686745.465,0.79,0.1622,0.74,0.1934
model - 1577686734,1577686745.49,0.68,0.1979,0.72,0.1845
model - 1577686734,1577686745.519,0.82,0.1551,0.7,0.1925
model - 1577686734,1577686745.543,0.73,0.1776,0.81,0.1533
model - 1577686734,1577686745.568,0.8,0.177,0.67,0.223
model - 1577686734,1577686745.592,0.72,0.1993,0.63,0.2363
model - 1577686734,1577686745.621,0.71,0.1891,0.68,0.1965
model - 1577686734,1577686745.646,0.69,0.2143,0.73,0.1959
model - 1577686734,1577686745.67,0.67,0.1918,0.67,0.1912
model - 1577686734,1577686745.694,0.63,0.2324,0.74,0.1769
model - 1577686734,1577686745.722,0.7,0.1799,0.67,0.1858
model - 1577686734,1577686745.747,0.77,0.1651,0.71,0.1716
model - 1577686734,1577686745.771,0.76,0.1674,0.7,0.1761
model - 1577686734,1577686745.798,0.69,0.1955,0.74,0.1787
model - 1577686734,1577686745.83,0.7,0.1916,0.73,0.1768
model - 1577686734,1577686745.855,0.63,0.2072,0.7,0.1846
